,Treatment,Probe,Run,probe,rate,run,Respirometry.number,Date,Time,Tank,Colour,file.letter,Notes.druing.run,Notes.during.processing,Mass,bgrd,bgrdcorrectedrate,mass_corected_rate,HS,Treatment
166,750,1,38,1,-0.111550519,38,243,11242023,1000,12,Blue,a,,,0.2527,-0.069353144,-0.042197375,0.166986052,NOHS,750
167,750,9,38,9,-0.189050937,38,249,11242023,1000,1,Green,a,Skip first 5 mins,,0.2425,-0.069353144,-0.119697793,0.493599148,NOHS,750
168,750,1,35,1,-0.076506373,35,222,11232023,1740,12,Blue,i,,,0.2444,-0.069353144,-0.007153229,0.029268532,NOHS,750
169,750,1,36,1,-0.152842991,36,229,11232023,1830,7,Red,j,,,0.2515,-0.069353144,-0.083489847,0.331967584,NOHS,750
170,750,9,37,9,-1.196871696,37,242,11232023,1945,7,Green,k,,,0.6129,-0.069353144,-1.127518552,1.839645215,NOHS,750
171,750,7,35,7,-0.092835155,35,226,11232023,1740,12,Green,i,,,0.3295,-0.069353144,-0.023482011,0.071265588,NOHS,750
172,750,8,38,8,-0.105205895,38,248,11242023,1000,1,Red,a,Skip first 5 mins,,0.2483,-0.069353144,-0.035852751,0.144392877,NOHS,750
173,750,2,38,2,-0.317215024,38,244,11242023,1000,12,Green,a,Skip first 5 mins,,0.2101,-0.069353144,-0.24786188,1.179732891,NOHS,750
174,750,2,36,2,-0.09593829,36,230,11232023,1830,7,Red,j,,,0.3503,-0.069353144,-0.026585146,0.07589251,NOHS,750
175,750,7,39,7,-0.125286118,39,254,11242023,1110,1,Blue,b,,,0.1647,-0.069353144,-0.055932974,0.339605187,NOHS,750
176,750,1,37,1,-0.104962586,37,236,11232023,1945,1,Red,k,,,0.2869,-0.069353144,-0.035609442,0.124117959,NOHS,750
177,750,9,34,9,-0.29926878,34,221,11232023,1620,1,Red,i,,,0.2359,-0.069353144,-0.229915636,0.974631778,NOHS,750
